teprenon||teprenone|teprenona|teprenonum|stepronin|eplerenone|eplerenona|loteprednol|serenoa|verbenone|arterenol
shimeprevir sodium||reviparin sodium|simeprevir|porfimer sodium|tinzaparin sodium|parnaparin sodium|pegaptanib sodium|glimepiridum|bisulfite de sodium|timepidium|vitamin c sodium
glucocorticoid||gluconic acid|fludrocortison|fludrocortisona|fludrocortisone|glycocholic acid|fluocortin|fluocortina|urocortin ii|glucaric acid|fluocortolona
prava||kava|furavax|rav12|karaya|trivax|prazepam|pegada|avac|proflavina|procaina
sal||salix|snail|veal|talc|mersal|sage|kale|salmon|ipsatol|osalmid
depression medicine||pepsin porcine|secretin porcine|eprinomectin|éprinomectine|diazepinomicin|espectinomicina|secretin (porcine)|desfesoterodine|pertussis vaccine|eprinomectina
rubia tinctorum root tincture||aralia ginseng root water|rehmannia glutinosa root tuber|inula helenium root extract|ginkgo biloba leaf tincture|gum benzoin tincture|salvia miltiorrhiza root extract|rehmannia glutinosa root extract|fallopia multiflora root tuber|carduus tinctorius flower bud|punica granatum fruit extract
depression drug||desmopressinum|felypressinum|prussian blue|vasopressin pig|terlipressinum|desmopressin|desmopressine|adeps solidus|fenretinidum|felypressine
prasatin powder||acacia powder|iron powder|pearl powder|passion flower|aluminum powder|oatmeal powder|pravastatin acid|prezatide copper|magnesium powder|cocoa powder
gardenia jasminoides||adenin riboside|arsenic trioxide|garcinia cambogia|garden sage oil|diarsenic trioxide|arsenic trihydroxide|argania spinosa oil|puccinia graminis|garden pea whole|carbon monoxide
precipitated 13-valent pneumococcal conjugate vaccine (non-toxic mutant diphtheria toxin conjugate)||neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen|neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae serotype 6a capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 9v capsular antigen diphtheria crm197 protein conjugate vaccine|neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae serotype 19a capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 18c capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 4 capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 5 capsular antigen diphtheria crm197 protein conjugate vaccine|streptococcus pneumoniae serotype 3 capsular antigen diphtheria crm197 protein conjugate vaccine
dental antiformin||digitalis antitoxin|claviformin|pentagastrin|pentavalent antimony|gdnf liatermin|pentyl nitrite|crotaline antivenin|alfa1 antitrypsin|pentylcannabichromene|tremella fuciformis
rubia tictorum root ticture||fallopia multiflora root tuber|inula helenium root extract|aralia ginseng root water|russian licorice root|salvia miltiorrhiza root extract|inula helenium root with rhizome|rehmannia glutinosa root tuber|curcuma euchroma root oil|curcuma longa root tuber|salvia miltiorrhiza root with rhizome
pradaxa||papaya|kadaya|piridoxal|pyridoxal|vorapaxar|pralidoxima|pradigastat|furavax|papaína|progabida
denotable||decitabine|dimenoxadole|denosumab|pentaglyme|fenolftalein|benfotiamine|bentalol|adrenostan|deferitazole|pentanal
ro5304020||r-30490|ro-4584820|ro-5028442|pro 2000|ro-5045337|pg-530742|sc-74020|avi-4020|tro40303|nov-002
lactated ringer's solution||lactated pepsin|lugol's solution|monsel's solution|aprotinin concentrated solution|formaldehyde solution|dextrose solution|basic ferric sulfate solution|activated ergosterol|malachite green cation|aromatic ginger root
ro4964913||fr236913|ro-4987655|ro6874281|r-82913|ru85493|ro-5045337|tmc-649128|ro-4584820|ro 24-7429|to-901317
dementia medicine||hymenialdisine|gentamicin|gentamicina|pentamidine|semduramicine|demexiptiline|dexniguldipine|dexmedetomidine|levmetamfetamine|dimetotiazine
choleciferol||cholecalciferol|colecalciferol|calciferol|cholesterol|cholecalciferolum|precholecalciferol|colecalciferolum|calcifediol|precalciferol|ergocalciferol
dried tissue culture inactivated rabies vaccine||purified inactivated sars-cov-2 vaccine|whole-virion inactivated sars-cov-2 vaccine|rabies virus inactivated antigen, a|rabies virus inactivated antigen, b|poliovirus vaccine inactivated, type 1 (mahoney)|hepatitis b surface antigen vaccine|tissue plasminogen activator alteplase|poliovirus vaccine inactivated, type 3 (saukett)|poliovirus vaccine inactivated, type 2 (mef-1)|tissue plasminogen activator, recombinant
powerful neominophagen sea||perfluoropropane|serine-3'-aminoadenosine|potassium ionophore i|dimethylaminophenazon|p-acetylaminophenol|olea europaea leaf|indigofera oligophylla leaf|perfluorohexane|turnera microphylla leaf|glyceryl monostearate se
defibrotoide||defibrotide|depreotide|nesiritide|dirucotide|anfibatide|dirlotapide|dinitrosorbide|clofibride|diampromide|disitertide
vitamins (4)||vitamin b4|vitamin k|vitamin d|vitamin m|vitamin g|vitamin e|vitamin h|vitamin j|vitamin c|vitamin a
ringer's solution (with glucose)||mineral oil (high viscosity)|uridine diphosphate glucose|mineral oil, high viscosity|interleukin 7 glycosylated|citron fruit (citrus junos)|esculetin 6-β-d-glucoside|esculetin 6-o-glucoside|trans-resveratrol 3-β-d-glucoside|ginger volatile oil|trans-resveratrol 3-β-glucoside
dapt||dapta|datp|date|dadps|ddavp|ddatp|oat|dpb-t|adaptavir|capture
defi brotide||defibrotide|depreotide|dirucotide|anfibatide|nesiritide|enfuvirtide|disitertide|teriparatide|adenin riboside|clofibride
poultice||pumice|poldine|poultry|proline|sultiame|patuline|lomustine|pegloticase|sinapultide|picosulfate
rheumatrex||hematide|hematite|houx mate|artesunate|rhumab-vegf|pemetrexed|rhubarb|rheinanthrone|somatrem|hematin
lembatinib mesylate||tricaine mesylate|ergoloid mesylate|ergoloid mesylates|pradefovir mesylate|codergocrine mesylate|dermatan sulfate|aluminium sulfate|dermatan 4-sulfate|atracurium besylate|co-dergocrine mesylate
decadron 2 mg||incadronic acid|decamethonium|decamethonum|cefadroxilum|incadronate|vecuronium|decanedioic acid|decanoic acid|cibacron blue|heberon gamma
repatha||mepatar|rhpth|urethan|bepanthen|repinotan|eparina|rupatadina|reposal|heparina|gelatina
cedar pollen extract||cedar elm pollen extract|red cedar pollen extract|pecan pollen extract|salt cedar pollen extract|red alder pollen extract|wheat pollen extract|beech pollen extract|mustard pollen extract|redwood pollen extract|cocklebur pollen extract
popishot||potasio|pitolisant|posiphen|propiodone|hypophosphite|tropisetron|eprodisate|protiofate|propenoate|phosphate
streptococcus pneumoniae vaccine||streptococcus faecium whole|sars-cov-2 mrna vaccine|sars-cov-2 rs nanoparticle vaccine|streptococcus pneumoniae type 9v capsular polysaccharide antigen|streptococcus pneumoniae type 2 capsular polysaccharide antigen|streptococcus pneumoniae type 5 capsular polysaccharide antigen|streptococcus pneumoniae type 3 capsular polysaccharide antigen|streptococcus pneumoniae type 4 capsular polysaccharide antigen|streptococcus pneumoniae type 1 capsular polysaccharide antigen|streptococcus pneumoniae type 8 capsular polysaccharide antigen
ddpp-4 inhibitor||c1 inhibitor|dynamin inhibitor i|human c1 inhibitor|cdk1/2 inhibitor iii|calpain inhibitor iv|naphthyridine inhibitor|hdac inhibitor cxd101|kras g12c inhibitor 9|iap inhibitor at-406|alpha-1 protease inhibitor
recinamine||rescinnamine|rufinamide|decitabine|retigabine|profenamine|prenylamine|phenindamine|procainamide|methionamine|vincamine
dasen||casein|date|dmpen|pasbn|eisen|dinase|dapsona|dapsone|dadle|dm-pen
114||j147|pf-114|spp1148|sr11254|ak119|sd146|gft14|p113d|k-134|sd118
b12 combination drug (1)||recombinant interleukin-11|recombinant interleukin-12|gold cation (1+)|blood coagulation factor xiv|thallium cation tl-201 (1+)|recombinant human gad65|chromium cation (cr3+)|recombinant factor ix|recombinant human tnf|indium cation in 111
reagents for general testing||giant fennel resin|senegalia senegal resin|acacia senegal resin|mimosa senegal resin|ginseng root-neutral saponins|spirits of gum turpentine|rattus norvegicus skin|dexnorgestrel acetime|cellulose regenerated|cayenne pepper resin
darzalex||dapiprazole|degarelix|adapalene|dimazole|carbazole|parsley|dadle|liarozole|darexaban|harmaline
sodium silastatin||sodium sulfate|sodium l-tartrate|sodium cation|sodium citrate|sodium acetate|sodium nitrate|sodium tartrate|sodium silicoaluminate|simvastatin|sodium edetate
r0486646||r-306465|mk-8666|r048-8071|prx-08066|cra_8696|ru84687|mk-0646|ro-4987655|cra_10656|ba-2664
polyethyleneglycol human immuno globulin||polyethylene glycol 450 lauryl ether|cytomegalovirus immunoglobulin|human cytomegalovirus immune globulin|nonaethylene glycol monolauryl ether|human clostridium tetani immune globulin|human normal immunoglobulin|lapine t-lymphocyte immune globulin|equine thymocyte immune globulin|nonaethylene glycol monododecyl ether|human vaccinia immune globulin
dapt treatment (2 antiplatelet drugs)||attapulgite (activated)|dexamethasone acetate anhydrous|wood fragrance (inula helenium)|vatreptacog alfa (activated)|drotrecogin alfa (activated)|domesticated cattle dander|dexamethasone acetate, anhydrous|saussurea radix (inula helenium)|naphthalene 2-sulfonate polymer|buprenorphine adipate ester
respiratory promoter (general drug)||foreskin keratinocyte (neonatal)|ephedra root (ephedra sinica)|pagodatree flower (flower bud)|1,6-fructose diphosphate (linear form)|chinese ephedra root (ephedra sinica)|foreskin keratinocyte, neonatal|redberry juniper pollen extract|prepared liauorice root (glycyrrhiza glabra)|parathyroid hormone (rdna)|turmeric root tuber (curcuma longa)
protidic acid||piromidic acid|orotidylic acid|propionic acid|arotinoic acid|orotic acid|piperidic acid|propanimidic acid|iopodic acid|retinoic acid|retionic acid
pollen extract||millet extract|aspen pollen extract|grass pollen extract|pecan pollen extract|wheat pollen extract|beech pollen extract|honey extract|privet pollen extract|nettle pollen extract|linden pollen extract
dapt + oac||dapta|daptomycin|daptomycine|daptomicina|daporinad|dantrona|dapsona|d-aspartic acid|d-lactic acid|daptomycinum
protein anabolic hormone||luteinizing gonadotropic hormone|protein c human|luteotropic hormone|thyrotropin releasing hormone|luteinizing hormone|luteinising hormone|parathyroid hormone|protein c concentrate|pentylcannabichromene|atrial natriuretic hormone
pneumonia medicine||penimepicycline|pseudonorephedrine|semduramicine|pseudoephedrine|efonidipine|pseudocapsaicin|pseudomonic acid|hymenialdisine|pentamidine|penclomedine
prograf||proguanil|eprosartan|mycograb|proftril|proguanile|progabide|proguanilo|progabida|éprosartan|apronal
dapt (thienopyridine)||phenopyridine|phenoperidine|phenazopyridine|p-aminopyridine|3,4-diaminopyridine|4,5-diaminopyridine|γ-aminopyridine|4-aminopyridine|phénazopyridine|phenazopyridinum
precipitated influenza vaccine (h5n1 strain)||rabies virus vaccine flury-lep strain|precipitated calcium carbonate|live attenuated measles virus (schwartz strain)|hepatitis b vaccine (recombinant)|dengue tetravalent vaccine (live, attenuated)|varicella zoster vaccine (recombinant)|typhoid vi polysaccharide vaccine, s typhi ty2 strain|varicella virus vaccine live (oka-merck) strain|hepatitis a vaccine, inactivated|rubella virus vaccine live (wistar ra 27-3 strain)
recombinant precipitated divalent human papillomavirus-like particle vaccine (derived from cabbage looper cells)||recombinant human antigen-specific polyclonal antibody (pab) against rhd antigen expressed in chinese hamster ovary cells|allogenic donor cd362-enriched human umbilical cord-derived mesenchymal stem cells|inactivated novel coronavirus (2019-cov) vaccine (vero cells)|allogeneic donor cd362 enriched human umbilical cord-derived mesenchymal stromal cells|recombinant novel coronavirus vaccine (adenovirus type 5 vector)|recombinant human papillomavirus type 52 l1 protein|recombinant human papillomavirus type 16 l1 protein|recombinant human papillomavirus type 18 l1 protein|recombinant human papillomavirus type 33 l1 protein|recombinant human papillomavirus type 31 l1 protein
proginova||prolina|procaina|progabida|eprozinol|bromisoval|aprotinina|eprazinona|proline|arginina|pridinol
dangerous drug||panax verus fruit|dang gui tou|anhydrous dextrose|anhydrous gypsum|argentous oxide|sang root bark|dang gui root|arsenous acid|arsorous acid|nitrous acid
plzenide||mafenide|piretanide|plecanatide|pilzicainide|polihexanide|desonide|pimozide|pivazide|fipexide|prezatide
dry thyroid||pig thyroid|porcine thyroid|erythrit|erythrol|d-thyroxine|parathyrin|sus scrofa thyroid|levothyroxin|erythromycin|dextrothyroxine
pressor||presatovir|cresol|p-cresol|lypressin|creosota|creosote|parsol|resorzin|prednisone|prednisona
porphymer sodium||porfimer sodium|porfimer sodico|porfimère sodique|oxybate sodium|porfimer natrium|parnaparin sodium|alphameprodinum|lyapolate sodium|reviparin sodium|pegaptanib sodium
insulin||inulin|indibulin|insulin x14|inosin|dinalin|esculin|tiamulin|aesculin|exisulind|plinabulin
predonisone||prednisone|prednisona|meprednisone|prednisolone|prednisonum|prednisolona|prednimustine|prednisolonum|fluprednisolone|pridopidine
damoktocog alpha pegol (genetical recombination)||agalsidase alfa (genetical recombination)|agalsidase beta (genetical recombination)|alteplase (genetical recombination)|antithrombin gamma (genetical recombination)|galsulfase (genetical recombination)|laronidase (genetical recombination)|somapacitan (genetical recombination)|insulin lispro (genetical recombination)|adalimumab (genetical recombination)|ocrelizumab (genetical recombination)
platelets transfusion||platelet activating factor|platelet-activating factor|platelet lysate|placenta totalis suis|plasma protein fraction|blatella germanica|sulfate dianion|adipate dianion|acetate anion|platycodon grandiflorus root
salpogrelate hydrochloride||adiphenine hydrochloride|acriflavine hydrochloride|scopolamine hydrobromide|zirconyl hydroxychloride|aluminum hydroxychloride|zirconium hydroxychloride|acetylene trichloride|cobalt dichloride|nitrogen trichloride|sulfur monochloride
damarin l||cumarin|vayarin|cymarin|daturin|samario|samarium|dactinol|daturine|cymarine|cambinol
polyporus decoction shimotsuto||polyporus versicolor fruiting body|polyporus linteus mycelium|polyporus rudis mycelium|polyporus fuscatus fruiting body|polyporus nigricans fruiting body|polyporus obliquus fruiting body|pyropolyporus yucatanensis mycelium|corylus serotina nut|pyropolyporus linteus mycelium|cloruro de metiltioninio
platelet||platelet lysate|nolatrexed|atreleuton|parsley|pralatrexate|pyrantelum|platino|pyrantel|belatacept|lacteol
gavexate mesylate||tricaine mesylate|pradefovir mesylate|ergoloid mesylate|etamsylate|ethamsylate|acetate d'amyle|ergoloid mesylates|pradefovir mesilate|codergocrine mesylate|atracurium besylate
dalacin s||malacidin a|malacidin b|d-alanin|d-alanine|alanine|halicin|alanina|folacin|aescin b|alaninum
precipitated hemophilus type b vaccine (non-toxic mutant diphtheria toxin conjugate)||neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae type 6b capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae serotype 6b capsular antigen diphtheria crm197 protein conjugate vaccine|neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen|neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen|streptococcus pneumoniae type 5 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae type 3 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae type 4 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae type 1 capsular polysaccharide diphtheria crm197 protein conjugate antigen|streptococcus pneumoniae serotype 5 capsular antigen diphtheria crm197 protein conjugate vaccine
